report_date,period,entity_type,entity_name,sales_wan,occurred_at_ms,store_code,record_id,fetched_at_shanghai
2025-11-11,daily,group,集团合计,2286.0,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,group,集团合计,63679.0,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,group,集团合计,2019577.0,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,超市,1398.37,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,超市,31675.27,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,超市,1098434.28,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,百货,222.98,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,百货,7947.75,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,百货,202865.89,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,服饰,178.11,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,服饰,6373.7,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,服饰,143392.55,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,电器,250.6,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,电器,6284.77,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,电器,190029.25,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,珠宝,0.0,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,珠宝,5744.56,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,珠宝,211778.59,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,医药,77.13,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,医药,1634.82,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,医药,45176.28,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,餐饮,31.42,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,餐饮,990.79,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,餐饮,32596.76,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,电影,0.94,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,电影,22.43,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,电影,1987.93,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,电玩,2.71,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,电玩,78.13,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,电玩,3633.84,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,business_type,茶叶,124.11,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,business_type,茶叶,2926.56,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,business_type,茶叶,89681.29,1762790400000,,,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 天使城店,1031.3,1762790400000,天使城店,recv2g6AWEHvi7,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 天使城店,9474.79,1762790400000,天使城店,recv2g6AWEHvi7,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 天使城店,285504.24,1762790400000,天使城店,recv2g6AWEHvi7,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 时代广场店,31.72,1762790400000,时代广场店,recv2g6AWEksm9,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 时代广场店,15544.69,1762790400000,时代广场店,recv2g6AWEksm9,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 时代广场店,517515.3,1762790400000,时代广场店,recv2g6AWEksm9,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 生活广场店,0.0,1762790400000,生活广场店,recv2g6AWEcTJj,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 生活广场店,5275.24,1762790400000,生活广场店,recv2g6AWEcTJj,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 生活广场店,146285.5,1762790400000,生活广场店,recv2g6AWEcTJj,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 大众服饰店,150.88,1762790400000,大众服饰店,recv2g6AWEFOYL,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 大众服饰店,1673.05,1762790400000,大众服饰店,recv2g6AWEFOYL,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 大众服饰店,34703.81,1762790400000,大众服饰店,recv2g6AWEFOYL,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 禹州店,246.56,1762790400000,禹州店,recv2g6AWEffE2,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 禹州店,3060.52,1762790400000,禹州店,recv2g6AWEffE2,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 禹州店,102836.6,1762790400000,禹州店,recv2g6AWEffE2,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 金三角店,190.33,1762790400000,金三角店,recv2g6AWEMb0O,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 金三角店,2195.95,1762790400000,金三角店,recv2g6AWEMb0O,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 金三角店,79148.41,1762790400000,金三角店,recv2g6AWEMb0O,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 北海店,183.02,1762790400000,北海店,recv2g6AWEvFPx,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 北海店,2190.3,1762790400000,北海店,recv2g6AWEvFPx,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 北海店,80554.35,1762790400000,北海店,recv2g6AWEvFPx,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 云鼎店,6.14,1762790400000,云鼎店,recv2g6AWExwG0,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 云鼎店,1102.11,1762790400000,云鼎店,recv2g6AWExwG0,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 云鼎店,42718.88,1762790400000,云鼎店,recv2g6AWExwG0,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 金汇店,131.49,1762790400000,金汇店,recv2g6AWE7XlG,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 金汇店,1466.28,1762790400000,金汇店,recv2g6AWE7XlG,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 金汇店,54887.06,1762790400000,金汇店,recv2g6AWE7XlG,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 魏源店,10.22,1762790400000,魏源店,recv2g6AWEHFsS,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 魏源店,1017.3,1762790400000,魏源店,recv2g6AWEHFsS,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 魏源店,38784.58,1762790400000,魏源店,recv2g6AWEHFsS,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 劳动店,0.0,1762790400000,劳动店,recv2g6AWEXu2Z,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 劳动店,312.81,1762790400000,劳动店,recv2g6AWEXu2Z,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 劳动店,13217.04,1762790400000,劳动店,recv2g6AWEXu2Z,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 线上商城,262.2,1762790400000,线上商城,recv2g6AWE2gLk,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 线上商城,3166.62,1762790400000,线上商城,recv2g6AWE2gLk,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 线上商城,84214.63,1762790400000,线上商城,recv2g6AWE2gLk,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,新乡 大胖店,4.15,1762790400000,大胖店,recv2g6AWEEsXN,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,新乡 大胖店,9094.65,1762790400000,大胖店,recv2g6AWEEsXN,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,新乡 大胖店,285897.89,1762790400000,大胖店,recv2g6AWEEsXN,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,新乡 小胖店,2.65,1762790400000,小胖店,recv2g6AWECmnm,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,新乡 小胖店,7454.52,1762790400000,小胖店,recv2g6AWECmnm,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,新乡 小胖店,230489.29,1762790400000,小胖店,recv2g6AWECmnm,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,store,许昌 实业公司店,133.71,1762790400000,实业公司店,recv2g6AWE4aN6,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,store,许昌 实业公司店,2893.84,1762790400000,实业公司店,recv2g6AWE4aN6,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,store,许昌 实业公司店,112080.83,1762790400000,实业公司店,recv2g6AWE4aN6,2025-11-12T12:34:02.113184+08:00
