report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-12-05,daily,超市,3722.92,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,超市,16424.73,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,超市,1171703.65,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,百货,637.59,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,百货,2744.96,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,百货,217746.22,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,服饰,857.98,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,服饰,3938.36,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,服饰,161470.85,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,电器,557.59,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,电器,2129.62,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,电器,202266.23,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,珠宝,639.55,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,珠宝,2948.8,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,珠宝,225613.11,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,医药,164.46,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,医药,810.64,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,医药,49170.77,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,餐饮,106.66,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,餐饮,445.68,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,餐饮,34903.05,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,电影,7.17,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,电影,28.74,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,电影,2166.88,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,电玩,5.17,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,电玩,18.62,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,电玩,3789.2,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,daily,茶叶,364.21,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,monthly,茶叶,1601.14,1764864000000,2025-12-06T12:32:18.615678+08:00
2025-12-05,yearly,茶叶,96778.66,1764864000000,2025-12-06T12:32:18.615678+08:00
